smiles,combo_reward,acid_reward,amine_reward,novel,makeable,price_usd,acid,amine
CNC(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,17.74,9.2,8.54,False,True,125,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,CN
O=C(Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1)Nc1ccc(CO)cc1,17.6,9.2,8.4,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
CNC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.54,9.0,8.54,True,True,125,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN
O=Cc1cnc(NC(=O)Cc2ccccc2NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,17.4,9.2,8.2,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
O=C(Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1)Nc1ccc(CO)cc1,17.4,9.0,8.4,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ccc(CO)cc1
O=C(Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1)NCc1ncccn1,17.3,9.2,8.1,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2ccccc2NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,17.3,9.2,8.1,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
NC(=O)Cc1ccc(NC(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)cc1,17.3,8.7,8.6,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,NC(=O)Cc1ccc(N)cc1
CN(C)C(=O)Cc1ccc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)cc1,17.3,8.5,8.8,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.24,8.7,8.54,True,True,125,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN
O=Cc1cnc(NC(=O)Cc2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,17.2,9.0,8.2,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ncc(C=O)s1
CN(C)C(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.17,8.37,8.8,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,17.14,8.6,8.54,True,True,125,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,CN
O=C(Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1)NCc1ncccn1,17.1,9.0,8.1,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,17.1,9.0,8.1,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,COC(=O)c1cnc(N)s1
O=C(Nc1ccc(CO)cc1)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,17.1,8.7,8.4,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ccc(CO)cc1
NC(=O)Cc1ccc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)cc1,17.1,8.5,8.6,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,NC(=O)Cc1ccc(N)cc1
CNC(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,17.04,8.5,8.54,True,True,125,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CN
O=C(Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1)Nc1ccc(CO)cc1,17.0,8.6,8.4,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,Nc1ccc(CO)cc1
Cc1cnc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,17.0,8.5,8.5,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,Cc1cnc(N)s1
CC(=O)c1csc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)n1,17.0,8.5,8.5,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CC(=O)c1csc(N)n1
NC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.97,8.37,8.6,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,NC(=O)Cc1ccc(N)cc1
CCc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.97,8.37,8.6,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CCc1ccc(N)cc1
CNC(=O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.94,8.4,8.54,True,True,125,O=C(O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CN
CNC(=O)c1cccc(C(=O)c2ccccc2)c1,16.91,8.37,8.54,True,True,295,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CN
O=Cc1cnc(NC(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,16.9,8.7,8.2,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Nc1ncc(C=O)s1
O=C(Nc1ncc(C(=O)Nc2ccc(CO)cc2)s1)c1cccc(C(=O)c2ccccc2)c1,16.9,8.5,8.4,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
Cc1cnc(NC(=O)COc2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,16.9,8.4,8.5,True,False,,O=C(O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,Cc1cnc(N)s1
Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.87,8.37,8.5,False,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,Cc1cnc(N)s1
CCOC(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.87,8.37,8.5,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CCOC(=O)Cc1ccc(N)cc1
CC(=O)c1csc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)n1,16.87,8.37,8.5,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CC(=O)c1csc(N)n1
CN(C)C(=O)Cc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,16.85,8.05,8.8,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.84,8.3,8.54,True,True,125,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,CN
O=C(NCc1ncccn1)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.8,8.7,8.1,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2ccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)cc2)s1,16.8,8.7,8.1,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,COC(=O)c1cnc(N)s1
O=Cc1cnc(NC(=O)Cc2cccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)c2)s1,16.8,8.6,8.2,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,Nc1ncc(C=O)s1
CCc1cnc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.8,8.5,8.3,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CCc1cnc(N)s1
Cc1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.8,8.3,8.5,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,Cc1cnc(N)s1
CC(=O)c1csc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)n1,16.8,8.3,8.5,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,CC(=O)c1csc(N)n1
O=C(Nc1ccc(CO)cc1)c1cccc(C(=O)c2ccccc2)c1,16.77,8.37,8.4,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
CNC(=O)c1cnc(NCc2ccc(C(=O)c3ccccc3)cc2)s1,16.74,8.2,8.54,False,True,125,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,CN
O=C(Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1)NCc1ncccn1,16.7,8.6,8.1,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2cccc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)c2)s1,16.7,8.6,8.1,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,COC(=O)c1cnc(N)s1
O=Cc1cnc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.7,8.5,8.2,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
O=C(Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1)Nc1ccc(CO)cc1,16.7,8.3,8.4,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,Nc1ccc(CO)cc1
CC(=O)c1csc(NC(=O)c2cnc(NCc3ccc(C(=O)c4ccccc4)cc3)s2)n1,16.7,8.2,8.5,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,CC(=O)c1csc(N)n1
CCc1ccc(NC(=O)CO)cc1,16.7,8.1,8.6,True,True,375,O=C(O)CO,CCc1ccc(N)cc1
CCc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.67,8.37,8.3,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CCc1cnc(N)s1
NC(=O)Cc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,16.65,8.05,8.6,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,NC(=O)Cc1ccc(N)cc1
CCc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,16.65,8.05,8.6,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CCc1ccc(N)cc1
O=C(Nc1ncc(C(=O)NCc2ncccn2)s1)c1cccc(C(=O)c2ccccc2)c1,16.6,8.5,8.1,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.6,8.5,8.1,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
CCc1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.6,8.3,8.3,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,CCc1cnc(N)s1
O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)Nc3ccc(CO)cc3)s2)cc1,16.6,8.2,8.4,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,Nc1ccc(CO)cc1
CNC(=O)Cc1cccc(C(=O)c2ccccc2)c1,16.59,8.05,8.54,True,True,295,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CN
O=Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.57,8.37,8.2,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
Cc1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Cc1cnc(N)s1
CCOC(=O)Cc1ccc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)cc1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CCOC(=O)Cc1ccc(N)cc1
CC(=O)c1csc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)n1,16.55,8.05,8.5,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CC(=O)c1csc(N)n1
CNC(=O)c1cnc(NCc2cccc(C(=O)c3ccccc3)c2)s1,16.54,8.0,8.54,False,True,125,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,CN
COC1CC2CCC(C1)N2C(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,16.5,9.2,7.3,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,COC1CC2CCC(C1)N2
O=Cc1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.5,8.3,8.2,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,Nc1ncc(C=O)s1
