smiles,combo_reward,acid_reward,amine_reward,novel,makeable,price_usd,acid,amine
CC(=O)c1csc(NC(=O)c2cnc(NCc3cccc(C(=O)c4ccccc4)c3)s2)n1,16.5,8.0,8.5,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,CC(=O)c1csc(N)n1
O=C(NCc1ncccn1)c1cccc(C(=O)c2ccccc2)c1,16.47,8.37,8.1,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,16.47,8.37,8.1,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
O=C(Cc1cccc(C(=O)c2ccccc2)c1)Nc1ccc(CO)cc1,16.45,8.05,8.4,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Nc1ccc(CO)cc1
O=C(Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1)NCc1ncccn1,16.4,8.3,8.1,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2cnc(NC(=O)c3cccc(C(=O)c4ccccc4)c3)s2)s1,16.4,8.3,8.1,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,COC(=O)c1cnc(N)s1
O=Cc1cnc(NC(=O)c2cnc(NCc3ccc(C(=O)c4ccccc4)cc3)s2)s1,16.4,8.2,8.2,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,Nc1ncc(C=O)s1
O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)Nc3ccc(CO)cc3)s2)c1,16.4,8.0,8.4,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,Nc1ccc(CO)cc1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,16.35,9.2,7.15,True,False,,O=C(O)Cc1ccccc1NC(=O)c1cccc(C(=O)c2ccccc2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
CCc1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,16.35,8.05,8.3,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CCc1cnc(N)s1
COC1CC2CCC(C1)N2C(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.3,9.0,7.3,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,COC1CC2CCC(C1)N2
O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)NCc3ncccn3)s2)cc1,16.3,8.2,8.1,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2cnc(NCc3ccc(C(=O)c4ccccc4)cc3)s2)s1,16.3,8.2,8.1,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,COC(=O)c1cnc(N)s1
O=Cc1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,16.25,8.05,8.2,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,Nc1ncc(C=O)s1
O=Cc1cnc(NC(=O)c2cnc(NCc3cccc(C(=O)c4ccccc4)c3)s2)s1,16.2,8.0,8.2,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,Nc1ncc(C=O)s1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.15,9.0,7.15,True,False,,O=C(O)Cc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
O=C(Cc1cccc(C(=O)c2ccccc2)c1)NCc1ncccn1,16.15,8.05,8.1,False,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)Cc2cccc(C(=O)c3ccccc3)c2)s1,16.15,8.05,8.1,True,True,375,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,COC(=O)c1cnc(N)s1
CN(C)C(=O)Cc1ccc(NC(=O)C2CCCN(Cc3ccccc3)C2)cc1,16.15,7.35,8.8,True,True,125,O=C(O)C1CCCN(Cc2ccccc2)C1,CN(C)C(=O)Cc1ccc(N)cc1
O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)NCc3ncccn3)s2)c1,16.1,8.0,8.1,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)c2cnc(NCc3cccc(C(=O)c4ccccc4)c3)s2)s1,16.1,8.0,8.1,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,COC(=O)c1cnc(N)s1
COC1CC2CCC(C1)N2C(=O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,16.0,8.7,7.3,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,COC1CC2CCC(C1)N2
NC(=O)Cc1ccc(NC(=O)C2CCCN(Cc3ccccc3)C2)cc1,15.95,7.35,8.6,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,NC(=O)Cc1ccc(N)cc1
CCc1ccc(NC(=O)C2CCCN(Cc3ccccc3)C2)cc1,15.95,7.35,8.6,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,CCc1ccc(N)cc1
COC1CC2CCC(C1)N2C(=O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,15.9,8.6,7.3,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,COC1CC2CCC(C1)N2
CN(C)C(=O)Cc1ccc(NC(=O)C2CCN(Cc3ccccc3)C2)cc1,15.9,7.1,8.8,True,True,250,O=C(O)C1CCN(Cc2ccccc2)C1,CN(C)C(=O)Cc1ccc(N)cc1
CNC(=O)C1CCCN(Cc2ccccc2)C1,15.89,7.35,8.54,True,True,125,O=C(O)C1CCCN(Cc2ccccc2)C1,CN
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,15.85,8.7,7.15,True,False,,O=C(O)c1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
Cc1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,15.85,7.35,8.5,True,True,1080,O=C(O)C1CCCN(Cc2ccccc2)C1,Cc1cnc(N)s1
CCOC(=O)Cc1ccc(NC(=O)C2CCCN(Cc3ccccc3)C2)cc1,15.85,7.35,8.5,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,CCOC(=O)Cc1ccc(N)cc1
CC(=O)c1csc(NC(=O)C2CCCN(Cc3ccccc3)C2)n1,15.85,7.35,8.5,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,CC(=O)c1csc(N)n1
COC1CC2CCC(C1)N2C(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,15.8,8.5,7.3,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,COC1CC2CCC(C1)N2
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,15.75,8.6,7.15,True,False,,O=C(O)Cc1cccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
O=C(Nc1ccc(CO)cc1)C1CCCN(Cc2ccccc2)C1,15.75,7.35,8.4,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,Nc1ccc(CO)cc1
COC1CC2CCC(C1)N2C(=O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,15.7,8.4,7.3,True,False,,O=C(O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,COC1CC2CCC(C1)N2
NC(=O)Cc1ccc(NC(=O)C2CCN(Cc3ccccc3)C2)cc1,15.7,7.1,8.6,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,NC(=O)Cc1ccc(N)cc1
CCc1ccc(NC(=O)C2CCN(Cc3ccccc3)C2)cc1,15.7,7.1,8.6,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,CCc1ccc(N)cc1
COC1CC2CCC(C1)N2C(=O)c1cccc(C(=O)c2ccccc2)c1,15.67,8.37,7.3,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,COC1CC2CCC(C1)N2
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,15.65,8.5,7.15,True,False,,O=C(Nc1ncc(C(=O)O)s1)c1cccc(C(=O)c2ccccc2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
CCc1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,15.65,7.35,8.3,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,CCc1cnc(N)s1
CNC(=O)C1CCN(Cc2ccccc2)C1,15.64,7.1,8.54,True,True,125,O=C(O)C1CCN(Cc2ccccc2)C1,CN
COC1CC2CCC(C1)N2C(=O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,15.6,8.3,7.3,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,COC1CC2CCC(C1)N2
Cc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,15.6,7.1,8.5,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,Cc1cnc(N)s1
CCOC(=O)Cc1ccc(NC(=O)C2CCN(Cc3ccccc3)C2)cc1,15.6,7.1,8.5,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,CCOC(=O)Cc1ccc(N)cc1
CC(=O)c1csc(NC(=O)C2CCN(Cc3ccccc3)C2)n1,15.6,7.1,8.5,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,CC(=O)c1csc(N)n1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,15.55,8.4,7.15,True,False,,O=C(O)COc1ccc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)cc1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
O=Cc1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,15.55,7.35,8.2,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,Nc1ncc(C=O)s1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cccc(C(=O)c2ccccc2)c1,15.52,8.37,7.15,True,True,125,O=C(O)c1cccc(C(=O)c2ccccc2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
COC1CC2CCC(C1)N2C(=O)c1cnc(NCc2ccc(C(=O)c3ccccc3)cc2)s1,15.5,8.2,7.3,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,COC1CC2CCC(C1)N2
O=C(Nc1ccc(CO)cc1)C1CCN(Cc2ccccc2)C1,15.5,7.1,8.4,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,Nc1ccc(CO)cc1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,15.45,8.3,7.15,True,False,,O=C(O)Cc1cnc(NC(=O)c2cccc(C(=O)c3ccccc3)c2)s1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
O=C(NCc1ncccn1)C1CCCN(Cc2ccccc2)C1,15.45,7.35,8.1,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)C2CCCN(Cc3ccccc3)C2)s1,15.45,7.35,8.1,True,True,375,O=C(O)C1CCCN(Cc2ccccc2)C1,COC(=O)c1cnc(N)s1
CCc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,15.4,7.1,8.3,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,CCc1cnc(N)s1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc(NCc2ccc(C(=O)c3ccccc3)cc2)s1,15.35,8.2,7.15,True,False,,O=C(c1ccccc1)c1ccc(CNc2ncc(C(=O)O)s2)cc1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
COC1CC2CCC(C1)N2C(=O)Cc1cccc(C(=O)c2ccccc2)c1,15.35,8.05,7.3,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,COC1CC2CCC(C1)N2
COC1CC2CCC(C1)N2C(=O)c1cnc(NCc2cccc(C(=O)c3ccccc3)c2)s1,15.3,8.0,7.3,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,COC1CC2CCC(C1)N2
O=Cc1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,15.3,7.1,8.2,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,Nc1ncc(C=O)s1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)Cc1cccc(C(=O)c2ccccc2)c1,15.2,8.05,7.15,True,True,125,O=C(O)Cc1cccc(C(=O)c2ccccc2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
O=C(NCc1ncccn1)C1CCN(Cc2ccccc2)C1,15.2,7.1,8.1,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,NCc1ncccn1
COC(=O)c1cnc(NC(=O)C2CCN(Cc3ccccc3)C2)s1,15.2,7.1,8.1,True,True,375,O=C(O)C1CCN(Cc2ccccc2)C1,COC(=O)c1cnc(N)s1
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)c1cnc(NCc2cccc(C(=O)c3ccccc3)c2)s1,15.15,8.0,7.15,True,False,,O=C(c1ccccc1)c1cccc(CNc2ncc(C(=O)O)s2)c1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
COC1CC2CCC(C1)N2C(=O)C1CCCN(Cc2ccccc2)C1,14.65,7.35,7.3,False,True,125,O=C(O)C1CCCN(Cc2ccccc2)C1,COC1CC2CCC(C1)N2
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1CCCN(Cc2ccccc2)C1,14.5,7.35,7.15,True,True,125,O=C(O)C1CCCN(Cc2ccccc2)C1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
COC1CC2CCC(C1)N2C(=O)C1CCN(Cc2ccccc2)C1,14.4,7.1,7.3,False,True,125,O=C(O)C1CCN(Cc2ccccc2)C1,COC1CC2CCC(C1)N2
CO[C@H]1C[C@H]2CC[C@@H](C1)N2C(=O)C1CCN(Cc2ccccc2)C1,14.25,7.1,7.15,True,True,125,O=C(O)C1CCN(Cc2ccccc2)C1,CO[C@H]1C[C@H]2CC[C@@H](C1)N2
